(Deal ID),(Products),(Industry),(Category),(Super Region),(Start Date),(Term in Days),(Amount $)
0063a00000h6PtsAAE,RHEL,,B,,12/29/2020,365.0,1327.912875
0063a00000h6PtsAAE,RHEL,,B,,12/29/2020,365.0,523.7066249999998
0063a00000hDX0rAAG,ANSIBLE,Education,P,,2/12/2021,365.0,88730.625
0063a00000hDkUDAA0,ANSIBLE,Education,P,,2/19/2021,365.0,88730.625
0063a00000iER6TAAW,RHEL,Education,P,,3/17/2021,365.0,31437.5
0063a00000iEplCAAS,ANSIBLE,Insurance,P,,12/31/2020,365.0,27232.5
0063a00000iEq3iAAC,RHEL,Government,C,EMEA,9/30/2020,365.0,5148.323575
0063a00000iEq3jAAC,RHEL,Media/Technology,C,EMEA,9/30/2020,365.0,2782.1911
0063a00000iEq3jAAC,RHEL,Media/Technology,C,EMEA,9/30/2020,365.0,3166.822450000001
0063a00000iEq3jAAC,RHEL,Media/Technology,C,EMEA,9/30/2020,30.0,425.814225
0063a00000iEq3jAAC,RHEL,Media/Technology,C,EMEA,9/30/2020,30.0,19223.383675
0063a00000iEq3jAAC,RHEL,Media/Technology,C,EMEA,9/30/2020,30.0,3648.79955
0063a00000iEq3jAAC,RHEL,Media/Technology,C,EMEA,9/30/2020,30.0,9.540249999999986
0063a00000gP8HzAAK,RHEL,FMCG (Fast Moving Consumer Goods),B,,12/29/2020,365.0,633.7725
0063a00000h6uWwAAI,RHEL,Financial Services,C,LATAM,9/29/2020,365.0,2102.28465
0063a00000h6uWwAAI,RHEL,Financial Services,C,LATAM,9/29/2020,365.0,1159.923125
0063a00000h9ALpAAM,TRAINING,Telecom,C,EMEA,9/29/2020,365.0,2492553.587275
0063a00000h9ALpAAM,TRAINING,Telecom,C,EMEA,9/29/2020,365.0,2492553.587275
0063a00000hBRigAAG,RHEL,Other,B,,7/31/2020,365.0,10408.295000000002
0063a00000hCFEfAAO,RHEL,Enterprise,C,EMEA,9/29/2020,365.0,4181.6992
0063a00000hjSm2AAE,RHEL,,C,EMEA,9/29/2020,365.0,10423.55915
0063a00000hjSm2AAE,RHEL,,C,EMEA,9/29/2020,365.0,26038.28
0063a00000hjSm2AAE,RHEL,,C,EMEA,9/29/2020,365.0,55366.05249999999
0063a00000hjSm2AAE,RHEL,,C,EMEA,9/29/2020,365.0,5432.097999999999
0063a00000hjSm2AAE,RHEL,,C,EMEA,9/29/2020,365.0,166628.25
0063a00000hjSm2AAE,RHEL,,C,EMEA,9/29/2020,365.0,5366.5
0063a00000iEKsHAAW,RHEL,Manufacturing,C,,9/29/2020,365.0,523.7066249999998
0063a00000iEKsHAAW,RHEL,Manufacturing,C,,9/29/2020,365.0,219.895375
0063a00000iEnAoAAK,RHEL,Services,C,,9/29/2020,365.0,434.03500000000014
0063a00000iEnaJAAS,RHEL,Other,C,,9/29/2020,365.0,1405.39
0063a00000iEnaEAAS,RHEL,Manufacturing,C,,9/29/2020,365.0,20058.77
0063a00000iEq7mAAC,RHEL,Government,C,EMEA,8/30/2020,365.0,5148.323575
0063a00000iEq8RAAS,RHEL,Financial Services,B,LATAM,11/14/2021,365.0,2419.84625
0063a00000iEq8SAAS,RHEL,Financial Services,B,LATAM,6/9/2021,365.0,1159.923125
0063a00000h5ZaoAAE,RHEL,,C,,9/29/2020,365.0,4211.6388
0063a00000h5ZaoAAE,RHEL,,C,,9/29/2020,365.0,3877.71975
0063a00000h6ew0AAA,RHEL,Healthcare,C,EMEA,9/29/2020,365.0,14578.624775
0063a00000h6ew0AAA,RHEL,Healthcare,C,EMEA,9/29/2020,365.0,5435.84045
0063a00000hCtleAAC,ANSIBLE,Education,P,,3/31/2021,365.0,319690.25
0063a00000hCtleAAC,ANSIBLE,Education,P,,3/31/2021,365.0,319690.25
0063a00000hDDJgAAO,RHEL,Government,C,,9/29/2020,365.0,1008.73235
0063a00000hDUCuAAO,ANSIBLE,Education,P,,3/31/2021,365.0,47731.875
0063a00000iEnEHAA0,RHEL,Oil and Gas,C,EMEA,9/29/2020,365.0,3274.996075
0063a00000iEptQAAS,RHEL,,C,EMEA,9/16/2020,365.0,9245.3602
0063a00000iEptQAAS,RHEL,,C,EMEA,9/16/2020,365.0,7693.9885250000025
0063a00000iEptQAAS,RHEL,,C,EMEA,9/16/2020,365.0,8402.531025
0063a00000iEq8iAAC,RHEL,Manufacturing,P,,12/18/2020,365.0,48215.45
0063a00000gNA4bAAG,RHEL,,C,,9/29/2020,365.0,14602.7825
0063a00000gOHJXAA4,RHEL,Insurance,C,,9/29/2020,365.0,5982.763775
0063a00000gOi0tAAC,RHEL,Wholesale Sector,C,EMEA,9/29/2020,365.0,1025.0057000000004
0063a00000h5a9VAAQ,RHEL,Financial Services,B,,10/23/2020,365.0,1327.912875
0063a00000h5a9VAAQ,RHEL,Financial Services,B,,10/23/2020,365.0,523.7066249999998
0063a00000iEnG8AAK,RHEL,Product Distributor,C,,9/29/2020,365.0,1327.5975
0063a00000iEq9HAAS,MIDDLEWARE,Manufacturing,C,EMEA,9/30/2020,365.0,5252.102975
006f20000207uc4AAA,OPENSHIFT,Media / Technology,C,,9/29/2020,365.0,85051.25
0063a00000h6u6QAAQ,RHEL,Telecom,C,EMEA,9/30/2020,365.0,52127.40355
0063a00000h6u6QAAQ,RHEL,Telecom,C,EMEA,9/30/2020,365.0,27257.204374999994
0063a00000iEpygAAC,RHEL,Financial Services,B,LATAM,10/26/2022,365.0,3227.20625
0063a00000hBpErAAK,RHEL,Government,C,EMEA,7/6/2020,365.0,3265.7661
0063a00000iES3JAAW,CONSULTING,,B,EMEA,10/31/2020,,56850.73287500001
0063a00000iES3JAAW,CONSULTING,,B,EMEA,10/31/2020,,80786.74924999996
0063a00000iES3JAAW,CONSULTING,,B,EMEA,10/31/2020,,39395.777875000014
0063a00000iEpyRAAS,CLOUD INFRASTRUCTURE,Manufacturing,B,,2/28/2021,365.0,113443.41
0063a00000iEq7DAAS,TRAINING,,C,LATAM,9/25/2020,365.0,535.5016499999998
0063a00000iEq7XAAS,TRAINING,,C,LATAM,9/14/2020,,521.20465
0063a00000hjvivAAA,RHEL,Education,B,,12/5/2020,365.0,155427.39150000006
0063a00000iEqBNAA0,RHEL,Manufacturing,B,,2/28/2021,365.0,315737.55
0063a00000gOVzNAAW,RHEL,,C,,9/29/2020,365.0,21604.2757
0063a00000gOVzNAAW,RHEL,,C,,9/29/2020,365.0,2464.8818
0063a00000iEqCuAAK,MIDDLEWARE,Financial Services,C,EMEA,9/30/2020,365.0,-57455.5272
0063a00000iEqCuAAK,RHEL,Financial Services,C,EMEA,9/30/2020,365.0,-59648.22445
0063a00000iEqCuAAK,RHEL,Financial Services,C,EMEA,9/30/2020,365.0,-1223.4288250000004
0063a00000iEqCuAAK,RHEL,Financial Services,C,EMEA,9/30/2020,365.0,-246942.1623
0063a00000gOU1uAAG,ANSIBLE,Government,C,EMEA,9/29/2020,365.0,51157.961825
0063a00000gOeraAAC,RHEL,Services,C,EMEA,9/29/2020,365.0,1014.95575
0063a00000hDZTnAAO,RHEL,,C,EMEA,9/29/2020,365.0,2200.471400000001
0063a00000iEdOXAA0,TRAINING,Other,C,EMEA,9/29/2020,365.0,5097.8215249999985
0063a00000iEmGKAA0,RHEL,Manufacturing,C,EMEA,9/29/2020,365.0,12302.163925
0063a00000iEovpAAC,RHEL,Other,C,APAC,9/29/2020,365.0,108.14750000000004
0063a00000iZwAQAA0,CLOUD INFRASTRUCTURE,Enterprise,C,EMEA,9/29/2020,1095.0,92501.03825
006f200001yLLy0AAG,RHEL,Education,C,EMEA,10/31/2019,365.0,3766.8128750000014
006f200001yLLy0AAG,CLOUD INFRASTRUCTURE,Education,C,EMEA,10/31/2019,365.0,5703.846124999997
006f200001yLLy0AAG,CLOUD INFRASTRUCTURE,Education,C,EMEA,10/31/2019,365.0,1834.615375
006f200001yLLy0AAG,RHEL,Education,C,EMEA,10/31/2019,1095.0,558.5871
006f200001yLLy0AAG,RHEL,Education,C,EMEA,10/31/2019,365.0,16940.657375000006
0063a00000iEqDJAA0,RHEL,Financial Services,C,EMEA,9/30/2020,365.0,59448.22445
0063a00000iEqDJAA0,RHEL,Financial Services,C,EMEA,9/30/2020,365.0,1023.4288250000003
0063a00000iEqDJAA0,RHEL,Financial Services,C,EMEA,9/30/2020,365.0,246742.1623
0063a00000iEqDJAA0,MIDDLEWARE,Financial Services,C,EMEA,9/30/2020,365.0,57255.5272
0063a00000hCmPZAA0,TRAINING,Information Technology,C,APAC,7/29/2020,365.0,779.2234500000003
0063a00000hCmPZAA0,TRAINING,Information Technology,C,APAC,7/29/2020,365.0,779.2234500000003
0063a00000hCmPZAA0,TRAINING,Information Technology,C,APAC,7/29/2020,,1972.43425
0063a00000hCmPZAA0,TRAINING,Information Technology,C,APAC,7/29/2020,,1972.43425
0063a00000hDCG9AAO,CONSULTING,Financial Services,C,APAC,9/23/2020,,66386.159075
0063a00000hDbKvAAK,CONSULTING,Manufacturing,C,APAC,9/28/2020,,22517.959125
0063a00000hDlnGAAS,CONSULTING,Retail,C,APAC,9/17/2020,,39834.1281
0063a00000hDlnGAAS,CONSULTING,Retail,C,APAC,9/17/2020,,3860.584375
0063a00000gNXiPAAW,RHEL,Services,C,,9/29/2020,365.0,513.1520750000002
0063a00000gOHTSAA4,RHEL,Healthcare,C,APAC,9/29/2020,365.0,9744.220374999997
0063a00000hCDPfAAO,RHEL,technology,C,,9/29/2020,365.0,7553.1
0063a00000hCDPfAAO,RHEL,technology,C,,9/29/2020,365.0,36904.0
0063a00000hDvPiAAK,OPENSHIFT,Media/Technology,C,EMEA,9/29/2020,365.0,45533.816375
0063a00000iECxiAAG,TRAINING,Services,C,APAC,9/28/2020,365.0,58241.620725
0063a00000iECxiAAG,TRAINING,Services,C,APAC,9/28/2020,365.0,58241.620725
0063a00000iECxiAAG,TRAINING,Services,C,APAC,9/28/2020,365.0,131542.634075
0063a00000iECxiAAG,TRAINING,Services,C,APAC,9/28/2020,365.0,131542.634075
0063a00000iECxiAAG,TRAINING,Services,C,APAC,9/28/2020,365.0,19347.1999
0063a00000iECxiAAG,TRAINING,Services,C,APAC,9/28/2020,365.0,19347.1999
0063a00000iZzxEAAS,OPENSHIFT,Enterprise,C,EMEA,9/29/2020,365.0,127674.664825
0063a00000iZzxEAAS,OPENSHIFT,Enterprise,C,EMEA,9/29/2020,365.0,94547.9061
006f200001sQUL8AAO,RHEL,,C,EMEA,9/29/2020,365.0,57127.88442500001
006f200001sQUL8AAO,RHEL,,C,EMEA,9/29/2020,365.0,3822.55015
0063a00000h965yAAA,CONSULTING,Government,C,,9/29/2020,,51369.2
0063a00000h965yAAA,CONSULTING,Government,C,,9/29/2020,,73067.0
0063a00000h965yAAA,CONSULTING,Government,C,,9/29/2020,,11000.1908
0063a00000h965yAAA,CONSULTING,Government,C,,9/29/2020,,73067.0
0063a00000iEnpWAAS,RHEL,Education,C,,9/29/2020,365.0,11133.86775
0063a00000iEoj0AAC,CLOUD INFRASTRUCTURE,Government,C,EMEA,9/29/2020,365.0,106448.329425
0063a00000iEoj0AAC,STORAGE,Government,C,EMEA,9/29/2020,365.0,38773.24865
0063a00000iEoj0AAC,RHEL,Government,C,EMEA,9/29/2020,365.0,14300.001475
0063a00000iEoj0AAC,CLOUD INFRASTRUCTURE,Government,C,EMEA,9/29/2020,365.0,106448.329425
0063a00000iEoj0AAC,RHEL,Government,C,EMEA,9/29/2020,365.0,14300.001475
0063a00000gNvLjAAK,ANSIBLE,Healthcare,P,,12/31/2020,365.0,31174.6875
0063a00000iEq2AAAS,RHEL,Retail,C,EMEA,9/24/2020,365.0,391.207075
0063a00000h8tzcAAA,TRAINING,Business Services,P,,2/8/2021,365.0,57718.75
0063a00000hDURHAA4,RHEL,Retail,B,,11/30/2020,365.0,144447.400625
0063a00000hkMTNAA2,ANSIBLE,Finance,P,,12/30/2020,365.0,150228.75
0063a00000iEqGUAA0,RHEL,Healthcare,P,APAC,9/14/2021,365.0,9744.220374999997
006f200001zrINSAA2,OPENSHIFT,Government,B,LATAM,12/31/2020,1095.0,38836.82825
006f200001zrINSAA2,OPENSHIFT,Government,B,LATAM,12/31/2020,1095.0,22647.304925
